ranking,lat,lon,score,score_network_centrality,businesses_5min,businesses_10min,coverage_5min,coverage_10min,score_adjusted
1,29.076488443075064,-111.00121607261036,50.0,0.0273,13,36,0.31,0.85,20.32
2,29.07608944641994,-110.98927436605952,50.0,0.0,29,329,0.68,7.76,22.18
3,29.079532305465737,-111.01698356102273,50.0,1.0,25,282,0.59,6.65,21.87
4,29.08463886070954,-111.0156885630049,50.0,0.0,28,314,0.66,7.41,22.08
5,29.08024503157075,-111.0209261086324,50.0,0.1105,39,342,0.92,8.07,22.34
6,29.082315876305177,-110.99162311047564,50.0,0.4699,72,405,1.7,9.55,22.98
7,29.08332597733993,-111.02481815240355,50.0,0.0,32,339,0.75,8.0,22.26
8,29.08117639188317,-110.98689451597257,50.0,0.0266,102,524,2.41,12.36,23.93
9,29.0910879437544,-111.01424115203312,50.0,0.0,33,413,0.78,9.74,22.71
10,29.083432223869615,-111.00752490894128,50.0,0.0,44,350,1.04,8.25,22.43
