ranking,lat,lon,score,score_network_centrality
1,29.076488443075064,-111.00121607261036,50.0,0.0273
2,29.07608944641994,-110.98927436605952,50.0,0.0
3,29.079532305465737,-111.01698356102273,50.0,1.0
4,29.08463886070954,-111.0156885630049,50.0,0.0
5,29.08024503157075,-111.0209261086324,50.0,0.1105
6,29.082315876305177,-110.99162311047564,50.0,0.4699
7,29.08332597733993,-111.02481815240355,50.0,0.0
8,29.08117639188317,-110.98689451597257,50.0,0.0266
9,29.0910879437544,-111.01424115203312,50.0,0.0
10,29.083432223869615,-111.00752490894128,50.0,0.0
